Date,PortfolioReturn
2022-01-04,-0.012691577003756227
2022-01-05,-0.026599796917173624
2022-01-06,-0.016693528711780314
2022-01-07,0.000988572464261761
2022-01-10,0.00011598039958360395
2022-01-11,0.016783843300179013
2022-01-12,0.0025703195387043465
2022-01-13,-0.019028206792651825
2022-01-14,0.005110861421122159
2022-01-18,-0.01889417494054202
2022-01-19,-0.021024777686617258
2022-01-20,-0.010347118568149738
2022-01-21,-0.012765224745968418
2022-01-24,-0.004864057093375895
2022-01-25,-0.011384910710425133
2022-01-26,-0.0005631136316748275
2022-01-27,-0.0029436609052340135
2022-01-28,0.06977815574551682
2022-01-31,0.026125661104801745
2022-02-01,-0.0009725812584429061
2022-02-02,0.007044039979363648
2022-02-03,-0.016719751212934342
2022-02-04,-0.001679161661392481
2022-02-07,-0.004234449767236859
2022-02-08,0.018466520438857215
2022-02-09,0.0082938028353845
2022-02-10,-0.023598858555516466
2022-02-11,-0.020218385292632868
2022-02-14,0.0014232372679670036
2022-02-15,0.0231523313542239
2022-02-16,-0.0013889647292018026
2022-02-17,-0.021269007606961488
2022-02-18,-0.009355937894369504
2022-02-22,-0.017812316675217543
2022-02-23,-0.025864019597233612
2022-02-24,0.01667995096462649
2022-02-25,0.012965775327518525
2022-02-28,0.0016375640040293682
2022-03-01,-0.011627775622027992
2022-03-02,0.02058807141663177
2022-03-03,-0.001981168401273936
2022-03-04,-0.018408169314761857
2022-03-07,-0.023717801854857057
2022-03-08,-0.011675948827575056
2022-03-09,0.03499747696465283
2022-03-10,-0.027186196211425373
2022-03-11,-0.023908738777625782
2022-03-14,-0.02656221227970268
2022-03-15,0.029677025197318407
2022-03-16,0.02901551973803418
2022-03-17,0.006454082452598042
2022-03-18,0.02091887028035888
2022-03-21,0.008537535829004295
2022-03-22,0.020801016591036392
2022-03-23,0.00823328538102941
2022-03-24,0.022678099748205893
2022-03-25,0.0037339682255064233
2022-03-28,0.005036672767599892
2022-03-29,0.019134421076233643
2022-03-30,-0.006649363526797014
2022-03-31,-0.017775948170505873
2022-04-01,-0.0017182869368264075
2022-04-04,0.02369355248480498
2022-04-05,-0.01894208182494317
2022-04-06,-0.018450699235471046
2022-04-07,0.001804072628600606
2022-04-08,-0.011908842538848274
2022-04-11,-0.025515940471700582
2022-04-12,0.011523372019035305
2022-04-13,0.016342606387703018
2022-04-14,-0.029988225244826916
2022-04-18,-0.001330958241032354
2022-04-19,0.014115207825876386
2022-04-20,-0.0010155592177715222
2022-04-21,-0.004843612477911652
2022-04-22,-0.02782114492570742
2022-04-25,0.006737169771893647
2022-04-26,-0.03732818992219322
2022-04-27,-0.0014665675340768125
2022-04-28,0.04515529392002504
2022-04-29,-0.03660474591314855
2022-05-02,0.001966440364323807
2022-05-03,0.00962249245433644
2022-05-04,0.04100833993426645
2022-05-05,-0.055716152239726924
2022-05-06,0.004727149779338191
2022-05-09,-0.03318926630222929
2022-05-10,0.01611229067551867
2022-05-11,-0.0518413160629736
2022-05-12,-0.026894344599735165
2022-05-13,0.03191641902194542
2022-05-16,-0.010672279094784964
2022-05-17,0.02542258011503007
2022-05-18,-0.05641915520613361
2022-05-19,-0.024641341263150207
2022-05-20,0.0017471643751589827
2022-05-23,0.04011920596589347
2022-05-24,-0.019215860655293238
2022-05-25,0.0011400927378635295
2022-05-26,0.02319948430617602
2022-05-27,0.04075665390578842
2022-05-31,-0.005346220217223974
2022-06-01,-0.0008734577099849261
2022-06-02,0.016811225602744173
2022-06-03,-0.03855548374858653
2022-06-06,0.005227642951719513
2022-06-07,0.017585753902679135
2022-06-08,-0.005043263308652124
2022-06-09,-0.03595583574903349
2022-06-10,-0.03862864701367863
2022-06-13,-0.038284911829864376
2022-06-14,0.006672768591087452
2022-06-15,0.020111603828621538
2022-06-16,-0.03965150855642097
2022-06-17,0.01153324506251252
2022-06-21,0.03276024349711282
2022-06-22,-0.003826778171268641
2022-06-23,0.021573470759167712
2022-06-24,0.024517459118672313
2022-06-27,0.0
2022-06-28,-0.029789694858517346
2022-06-29,0.013023950100926163
2022-06-30,-0.01802789443097963
2022-07-01,0.016164421040562038
2022-07-05,0.018930529591639544
2022-07-06,0.009606994751787168
2022-07-07,0.023999523026462244
2022-07-08,0.00471468643649775
2022-07-11,-0.014757794952700687
2022-07-12,0.0068338430636358805
2022-07-13,-0.002536850574499816
2022-07-14,0.020482546852935046
2022-07-15,0.01144994556033141
2022-07-18,-0.020642963977550388
2022-07-19,0.026721828238634338
2022-07-20,0.013510113131971924
2022-07-21,0.015094005896305163
2022-07-22,-0.008110780594193123
2022-07-25,-0.007398273984532855
2022-07-26,-0.008826424841284597
2022-07-27,0.03423465759967326
2022-07-28,0.0035718828808093406
2022-07-29,0.03279315138447281
2022-08-01,-0.006153556100042312
2022-08-02,-0.009287437161107692
2022-08-03,0.03824782954610928
2022-08-04,-0.0019262973123770344
2022-08-05,-0.0013889593551065227
2022-08-08,-0.002902986319809342
2022-08-09,0.0003031866752793988
2022-08-10,0.026194719741178707
2022-08-11,-0.004431743187122139
2022-08-12,0.021425567247476796
2022-08-15,0.006333694541671209
2022-08-16,-0.0009240367509776304
2022-08-17,0.008784631807682075
2022-08-18,-0.0022916048781960185
2022-08-19,-0.015101818457238125
2022-08-22,-0.023029349308195113
2022-08-23,-0.0020290052666634972
2022-08-24,0.0017938187308821352
2022-08-25,0.014922709424610492
2022-08-26,-0.03769926875498919
2022-08-29,-0.013690131724344856
2022-08-30,-0.015305452587893842
2022-08-31,-0.010634980566178731
2022-09-01,0.0047067802953078
