scenario,VaR_95,CVaR_99,worst_loss,breach_flag
-10%,0.126268,0.152523,0.183211,True
-5%,0.077728,0.10544,0.137833,True
5%,0.0,0.011276,0.047079,False
10%,0.0,0.0,0.001702,False
